pontos turisticos,pais,descrição,lugar
Coliseu,Italia,"Também conhecido como Anfiteatro Flaviano, é um anfiteatro oval localizado no centro da cidade de Roma, capital da Itália. Construído com tijolos revestidos de argamassa e areia, e originalmente cobertos com travertino é o maior anfiteatro já construído e está situado a leste do Fórum Romano.",Roma
Grande Canal de Veneza,Italia,O Grande Canal é o maior e mais importante canal da cidade italiana de Veneza.,Veneza
Praça de São Marcos,Italia,"A Praça de São Marcos é a única praça de Veneza, e o seu principal destino turístico, com permanente abundância de fotógrafos e turistas",Veneza
Santa Maria del Fiore,Italia,"A Catedral de Santa Maria del Fiore é o ""Duomo"" de Florença, Itália, e está localizada na praça homónima.",Florença
Catedral de Milão,Italia,"A Catedral de Milão é uma catedral católica romana situada na praça central da cidade de Milão, na Lombardia, no norte da Itália. É a sede da Arquidiocese de Milão e uma das mais célebres e complexas edificações em estilo gótico da Europa.",Milão
Galleria Vittorio Emanuele II,Italia,"Galleria Vittorio Emanuele II é a galeria comercial ativa mais antiga da Itália e um importante marco de Milão. Instalada em uma arcada dupla de quatro andares no centro da cidade,[1] a Galleria recebeu o nome de Vitor Emanuel II, o primeiro rei do Reino da Itália. Foi projetada em 1861 e construída pelo arquiteto Giuseppe Mengoni entre 1865 e 1877.",Milão
Castello Sforzesco,Italia,"O Castello Sforzesco é um castelo de Milão construído no século XV por Francesco Sforza, tornado pouco depois Duque de Milão, sobre restos duma fortificação anterior datada do século XIV. Actualmente acolhe várias colecções dos museus e galerias de arte da cidade.",Milão
Vesúvio,Italia,"Vesúvio (em italiano: Vesuvio) é um estratovulcão localizado na cidade de Nápoles, Itália, a cerca de nove quilômetros a leste de Nápoles e a curta distância do litoral. É o único vulcão na Europa continental a ter entrado em erupção nos últimos cem anos, embora atualmente esteja adormecido.",Nápoles
Museu Arqueológico Nacional de Nápoles,Italia,"O Museu Arqueológico Nacional é um museu de Nápoles que abriga uma extensa coleção de arte da Antiguidade. É o sucessor do antigo Museu Real Bourbon, um dos mais antigos e importantes da Europa.",Nápoles
Castel Nuovo,Italia,"O Castel Nuovo, também conhecido pelo nome de Maschio Angioino, é um castelo na cidade de Nápoles, na Itália.",Nápoles
Museu Capela de Sansevero,Italia,"A Capela de Sansevero (também conhecida como Capela Sansevero de' Sangri ou Pietatella) é uma capela localizada na Via Francesco de Sanctis 19, a noroeste da igreja de San Domenico Maggiore, no centro histórico de Nápoles, Itália. A capela é mais apropriadamente denominada Capela de Santa Maria della Pietà ou Pietatella e abriga trabalhos artísticos da autoria de alguns dos principais artistas italiano do século XVIII.",Nápoles
Galleria Borbonica,Italia,"A Galleria Borbonica é uma cavidade subterrânea em Nápoles que se estende sob a colina Pizzofalcone, perto do Palazzo Reale, no bairro de San Ferdinando.",Nápoles
Catacombe di San Gennaro,Italia,"As Catacumbas de San Gennaro são centros subterrâneos de cemitérios dos primeiros cristãos, localizados em Nápoles , Itália.",Nápoles
Castello di Riomaggiore,Italia,"O castelo de Riomaggiore é um edifício histórico localizado na parte alta do centro histórico de Riomaggiore, em Cinque Terre, na província de La Spezia. Originalmente utilizado para fins defensivos, depois convertido em cemitério, hoje o local é utilizado pela administração municipal local como sala de conferências e centro cultural.",Cinque Terre
